,0,1,2
183,sh.000933,1,中证医药卫生指数
184,sh.000934,1,中证金融地产指数
185,sh.000935,1,中证信息技术指数
186,sh.000944,1,中证内地资源主题指数
187,sh.000952,1,沪深300房地产指数
188,sh.000959,1,银河99
189,sh.000961,1,中证上游资源产业指数
190,sh.000964,1,中证新兴产业指数
191,sh.000966,1,中证锐联基本面400指数
192,sh.000969,1,沪深300非周期行业指数
193,sh.000971,1,等权90
194,sh.000974,1,中证800金融指数
195,sh.000977,1,中证内地低碳经济主题指数
196,sh.000978,1,中证医药100指数
197,sh.000979,1,中证大宗商品股票指数
198,sh.000982,1,中证500等权重指数
199,sh.000984,1,沪深300等权重指数
200,sh.000986,1,中证全指能源指数
201,sh.000987,1,中证全指原材料指数
202,sh.000989,1,中证全指可选消费指数
203,sh.000990,1,中证全指主要消费指数
204,sh.000991,1,中证全指医药卫生指数
205,sh.000992,1,中证全指金融地产指数
206,sh.000993,1,中证全指信息技术指数
207,sh.000998,1,中证TMT产业主题指数
208,sh.600000,1,浦发银行
209,sh.600004,1,白云机场
210,sh.600006,1,东风股份
211,sh.600007,1,中国国贸
212,sh.600008,1,首创环保
213,sh.600009,1,上海机场
214,sh.600010,1,包钢股份
215,sh.600011,1,华能国际
216,sh.600012,1,皖通高速
217,sh.600015,1,华夏银行
218,sh.600016,1,民生银行
219,sh.600017,1,日照港
220,sh.600018,1,上港集团
221,sh.600019,1,宝钢股份
222,sh.600020,1,中原高速
223,sh.600021,1,上海电力
224,sh.600022,1,山东钢铁
225,sh.600023,1,浙能电力
226,sh.600025,1,华能水电
227,sh.600026,1,中远海能
228,sh.600027,1,华电国际
229,sh.600028,1,中国石化
230,sh.600029,1,南方航空
231,sh.600030,1,中信证券
232,sh.600031,1,三一重工
233,sh.600032,1,浙江新能
234,sh.600033,1,福建高速
235,sh.600035,1,楚天高速
236,sh.600036,1,招商银行
237,sh.600037,1,歌华有线
238,sh.600038,1,中直股份
239,sh.600039,1,四川路桥
240,sh.600048,1,保利发展
241,sh.600050,1,中国联通
242,sh.600051,1,宁波联合
243,sh.600052,1,东望时代
244,sh.600053,1,九鼎投资
245,sh.600054,1,黄山旅游
246,sh.600055,1,万东医疗
247,sh.600056,1,中国医药
248,sh.600057,1,厦门象屿
249,sh.600058,1,五矿发展
250,sh.600059,1,古越龙山
251,sh.600060,1,海信视像
252,sh.600061,1,国投资本
253,sh.600062,1,华润双鹤
254,sh.600063,1,皖维高新
255,sh.600064,1,南京高科
256,sh.600066,1,宇通客车
257,sh.600067,1,冠城新材
258,sh.600070,1,*ST富润
259,sh.600071,1,凤凰光学
260,sh.600072,1,中船科技
261,sh.600073,1,光明肉业
262,sh.600075,1,新疆天业
263,sh.600076,1,康欣新材
264,sh.600078,1,澄星股份
265,sh.600079,1,人福医药
266,sh.600080,1,金花股份
267,sh.600081,1,东风科技
268,sh.600082,1,海泰发展
269,sh.600083,1,*ST博信
270,sh.600084,1,中信尼雅
271,sh.600085,1,同仁堂
272,sh.600088,1,中视传媒
273,sh.600089,1,特变电工
274,sh.600094,1,大名城
275,sh.600095,1,湘财股份
276,sh.600096,1,云天化
277,sh.600097,1,开创国际
278,sh.600098,1,广州发展
